Время;Значение
11:06:53,037;4444,60561319357
11:06:53,108;4432,08494912339
11:06:53,182;4431,50926328824
11:06:53,254;4431,50926328824
11:06:53,328;4431,12944152577
11:06:53,400;4432,23647631918
11:06:53,474;4431,58595654985
11:06:53,568;4431,31354515399
11:06:53,630;4431,41047820914
11:06:53,693;4431,27683641851
11:06:53,766;4431,96834218969
11:06:53,839;4431,89421692277
11:06:53,912;4432,17268777565
11:06:53,984;4432,07176411034
11:06:54,060;4432,07176411034
11:06:54,127;4432,42856346322
11:06:54,202;4431,66877804549
11:06:54,277;4432,53960912462
11:06:54,350;4432,53960912462
11:06:54,422;4433,26682457867
11:06:54,495;4433,84764033982
11:06:54,568;4433,84764033982
11:06:54,650;4433,13760373662
11:06:54,714;4433,89503812134
11:06:54,788;4434,24984282035
11:06:54,861;4434,24984282035
11:06:54,933;4434,01948475808
11:06:55,043;4434,19973748777
11:06:55,127;4433,70416521584
11:06:55,210;4433,63574188472
11:06:55,293;4434,27821093521
11:06:55,426;4433,60067451721
11:06:55,520;4432,42621336027
11:06:55,612;4432,87196463478
11:06:55,705;4433,45598608313
11:06:55,799;4432,42635615405
11:06:55,977;4432,45778824793
11:06:56,082;4431,88324455163
11:06:56,195;4432,08473654077
11:06:56,287;4432,21588126646
11:06:56,392;4431,51040552776
11:06:56,494;4431,16579380305
11:06:56,597;4431,62843608787
11:06:56,717;4431,64019744917
11:06:56,804;4431,53528001607
11:06:56,906;4431,63306872346
11:06:57,009;4431,70184953251
11:06:57,112;4431,74753491553
11:06:57,219;4432,16135581872
11:06:57,319;4431,96613375991
11:06:57,421;4431,14212937906
11:06:57,524;4431,48702560479
11:06:57,626;4431,03350788556
11:06:57,730;4432,31053072683
11:06:57,832;4431,01169653135
11:06:57,936;4430,86059451688
11:06:58,038;4431,59907071204
11:06:58,141;4432,00804320726
11:06:58,245;4431,90989805994
11:06:58,348;4431,36172561769
11:06:58,451;4432,00048821113
11:06:58,554;4432,30775331841
11:06:58,656;4432,030351757
11:06:58,760;4431,30477807222
11:06:58,864;4432,13441249826
11:06:58,966;4431,57134473665
11:06:59,069;4431,51304335778
11:06:59,172;4431,46849505677
11:06:59,275;4431,23329061211
11:06:59,378;4431,69985265523
11:06:59,481;4431,39109200608
11:06:59,584;4431,98274248732
11:06:59,687;4432,1895091017
11:06:59,790;4432,24417626301
11:06:59,893;4432,90538921011
11:06:59,996;4432,25935818837
11:07:00,099;4432,55393648211
11:07:00,202;4432,89184891895
11:07:00,305;4432,65101122783
11:07:00,408;4433,28086522867
11:07:00,511;4433,85341309736
11:07:00,614;4432,5619907123
11:07:00,717;4432,44182149307
11:07:00,820;4432,16577479881
11:07:00,921;4431,75245520443
11:07:01,026;4432,20825648747
11:07:01,136;4432,15658147178
11:07:01,232;4431,92258596804
11:07:01,335;4432,04845817017
11:07:01,436;4432,69605780541
11:07:01,541;4431,82230429183
11:07:01,644;4431,97689881468
11:07:01,747;4432,05009757239
11:07:01,850;4432,91087976196
11:07:01,957;4432,55693189805
11:07:02,055;4432,56833578832
11:07:02,157;4433,27138865884
11:07:02,262;4433,7225551945
11:07:02,365;4434,02960567944
11:07:02,485;4433,6849230655
11:07:02,571;4434,15162922121
11:07:02,673;4434,62767265822
11:07:02,777;4434,77991496107
11:07:02,879;4434,41705591166
11:07:02,988;4434,1896201981
11:07:03,086;4435,48631652621
11:07:03,188;4435,15467721644
