Время;Значение
11:06:53,036;5416,87468499021
11:06:53,107;5404,31062029508
11:06:53,181;5404,61852527079
11:06:53,252;5405,0145528293
11:06:53,327;5404,99541091548
11:06:53,398;5405,53072751259
11:06:53,472;5404,68113787527
11:06:53,567;5404,31339798582
11:06:53,619;5404,57298521932
11:06:53,692;5404,91528613662
11:06:53,764;5404,91528613662
11:06:53,838;5405,0038150466
11:06:53,910;5404,43013908316
11:06:53,983;5404,13363797949
11:06:54,057;5404,75596701857
11:06:54,127;5404,67491635141
11:06:54,201;5404,49774974853
11:06:54,275;5404,94250140726
11:06:54,348;5404,79399106583
11:06:54,420;5404,50385802561
11:06:54,493;5404,73193579169
11:06:54,566;5404,49149049118
11:06:54,649;5404,3553476915
11:06:54,713;5404,52229608784
11:06:54,787;5404,59071941576
11:06:54,859;5404,50585637017
11:06:54,932;5404,57391111969
11:06:55,042;5404,37585959446
11:06:55,126;5404,27389071715
11:06:55,209;5404,60149494098
11:06:55,292;5404,66421632788
11:06:55,425;5404,7278636166
11:06:55,519;5404,06706643071
11:06:55,611;5404,07276837549
11:06:55,704;5404,47231082127
11:06:55,798;5403,77097166255
11:06:55,976;5404,19528689812
11:06:56,080;5403,98020500441
11:06:56,194;5404,53014736265
11:06:56,285;5404,48449406154
11:06:56,391;5404,52692558737
11:06:56,493;5404,04996059627
11:06:56,596;5404,21461313769
11:06:56,716;5404,15581736581
11:06:56,802;5404,49793404275
11:06:56,905;5404,62522861933
11:06:57,008;5404,45372620648
11:06:57,111;5404,66077250986
11:06:57,214;5404,57298521932
11:06:57,317;5404,58775742497
11:06:57,420;5404,48127228688
11:06:57,523;5404,81516906902
11:06:57,625;5403,70980457388
11:06:57,729;5404,72567650195
11:06:57,831;5403,95176642769
11:06:57,935;5404,18080781804
11:06:58,037;5404,01430349958
11:06:58,140;5404,1422264512
11:06:58,244;5404,56950365422
11:06:58,347;5404,44313498628
11:06:58,450;5404,37537777427
11:06:58,553;5404,1397462733
11:06:58,655;5404,39337176128
11:06:58,759;5403,84024545164
11:06:58,862;5404,10934702986
11:06:58,965;5403,69217922386
11:06:59,067;5403,35439452189
11:06:59,171;5404,07084113056
11:06:59,274;5403,56951410708
11:06:59,377;5403,76882240684
11:06:59,480;5403,7912238171
11:06:59,583;5403,95617384606
11:06:59,686;5404,13771017571
11:06:59,789;5404,28003674065
11:06:59,892;5404,61645142924
11:06:59,994;5403,87604913542
11:07:00,098;5404,02367128836
11:07:00,201;5403,95795018094
11:07:00,304;5404,46457278596
11:07:00,407;5404,35760582482
11:07:00,510;5404,32972448071
11:07:00,613;5404,38959709829
11:07:00,716;5404,26000665305
11:07:00,819;5404,75411521315
11:07:00,921;5404,30229160868
11:07:01,025;5404,09653977482
11:07:01,134;5404,35586724863
11:07:01,231;5404,61404676842
11:07:01,334;5404,65381384083
11:07:01,435;5405,07212964149
11:07:01,540;5404,79732611584
11:07:01,643;5405,04210343423
11:07:01,746;5405,04117752854
11:07:01,849;5405,28362119514
11:07:01,956;5404,54184877872
11:07:02,054;5404,4188861588
11:07:02,156;5404,50193516251
11:07:02,261;5404,89696137527
11:07:02,364;5405,41843178382
11:07:02,484;5404,88263325291
11:07:02,570;5404,76104060459
11:07:02,672;5404,44099008124
11:07:02,776;5404,70742722222
11:07:02,878;5404,78225636989
11:07:02,983;5404,51063684059
11:07:03,085;5405,15380867832
11:07:03,187;5404,95313043656
11:07:03,291;5404,85478963892
11:07:03,394;5404,35205483307
11:07:03,496;5405,1568084367
11:07:03,600;5404,45565348161
11:07:03,703;5404,80595229764
11:07:03,813;5405,27566113663
11:07:03,909;5404,78233187321
11:07:04,013;5404,92254686701
11:07:04,115;5404,44036170137
11:07:04,218;5404,69920736154
11:07:04,321;5404,86826737224
11:07:04,424;5405,03273562912
11:07:04,527;5405,29028682225
11:07:04,629;5405,13651857769
11:07:04,733;5404,92625048283
11:07:04,836;5404,72094270193
11:07:04,939;5405,42483760674
11:07:05,042;5405,29754300553
11:07:05,145;5405,61481581375
11:07:05,248;5405,58238040296
11:07:05,350;5406,06504735071
11:07:05,454;5405,41928213501
11:07:05,557;5406,10492314525
11:07:05,660;5405,56842080231
11:07:05,763;5405,71707759722
11:07:05,866;5405,48925968689
11:07:05,969;5405,92901321206
11:07:06,072;5405,68538386473
11:07:06,174;5405,73481171629
11:07:06,277;5405,7225197118
11:07:06,381;5405,62288452021
11:07:06,484;5405,6600581662
11:07:06,586;5405,31749749674
11:07:06,688;5405,56149533119
11:07:06,793;5405,2755100352
11:07:06,896;5406,078189653
11:07:06,999;5405,19060920552
11:07:07,102;5405,0706085869
11:07:07,205;5405,12285198623
11:07:07,308;5405,08360448493
11:07:07,410;5405,2474066058
11:07:07,514;5404,84093883381
11:07:07,617;5405,46393398876
11:07:07,720;5405,50958732394
11:07:07,823;5405,82252812956
11:07:07,925;5404,94068735892
11:07:08,029;5404,83938458156
11:07:08,133;5404,98537700478
11:07:08,235;5405,35441133288
11:07:08,338;5405,45093809154
11:07:08,440;5405,51117933384
11:07:08,544;5405,07849769093
11:07:08,646;5405,84918600785
11:07:08,750;5405,69293764265
11:07:08,853;5406,27709157264
11:07:08,956;5405,50677179309
11:07:09,059;5406,14709483719
11:07:09,162;5405,81956614294
11:07:09,265;5406,15720437009
11:07:09,368;5406,00984195091
11:07:09,471;5406,03083568907
11:07:09,573;5406,17971448912
11:07:09,677;5406,350106698
11:07:09,778;5406,42626801118
11:07:09,883;5407,12087056412
11:07:09,986;5406,67041708898
11:07:10,094;5406,72425251153
11:07:10,192;5406,84169739991
11:07:10,295;5406,96621420291
11:07:10,398;5407,04674531226
11:07:10,501;5407,010941655
11:07:10,604;5406,01920977293
11:07:10,707;5406,80315378024
11:07:10,811;5406,46895939567
11:07:10,913;5406,28301554192
11:07:11,016;5406,02872401001
11:07:11,119;5406,29223697968
11:07:11,222;5406,54749227351
11:07:11,325;5406,06919509419
11:07:11,427;5406,72129052796
11:07:11,531;5406,40646004918
11:07:11,633;5406,0915588124
11:07:11,737;5406,6441654514
11:07:11,840;5407,04545102965
11:07:11,942;5407,50871623465
11:07:12,046;5406,76601797673
11:07:12,148;5406,38942986388
11:07:12,252;5406,83951500493
11:07:12,355;5406,92911625355
11:07:12,458;5407,00827738871
11:07:12,561;5407,21995319477
11:07:12,664;5406,72884433396
11:07:12,767;5406,65701498093
11:07:12,870;5406,94277821065
11:07:12,973;5407,39719532256
11:07:13,076;5407,5470757007
11:07:13,179;5406,82011326247
11:07:13,282;5406,8273693711
11:07:13,384;5406,69215257189
11:07:13,488;5406,78856588781
11:07:13,591;5407,21332531342
11:07:13,694;5406,51791025289
11:07:13,797;5406,39990782428
11:07:13,900;5406,31989640606
11:07:14,003;5406,39535383376
11:07:14,105;5406,53927239663
11:07:14,209;5406,1616497638
11:07:14,312;5406,19963590497
11:07:14,415;5405,37433268175
11:07:14,517;5405,77121063827
11:07:14,620;5405,70578709636
11:07:14,723;5406,01461797328
11:07:14,827;5405,47204517355
11:07:14,930;5406,26965123308
11:07:15,033;5405,8104581528
11:07:15,136;5405,48159723712
11:07:15,238;5405,3501549282
11:07:15,342;5405,22045573621
11:07:15,444;5405,34571425867
11:07:15,548;5405,22023370168
11:07:15,651;5405,53909852825
11:07:15,754;5404,9249182617
11:07:15,857;5405,07220517188
11:07:15,958;5405,09120058211
11:07:16,063;5405,25055747133
11:07:16,165;5405,34738181711
11:07:16,269;5405,32524013912
11:07:16,372;5404,99904355188
11:07:16,474;5405,63810544207
11:07:16,578;5405,16762175463
11:07:16,680;5405,24015503034
11:07:16,783;5405,68079679766
11:07:16,887;5405,35922977594
11:07:16,990;5405,58452983598
11:07:17,093;5405,63584733675
11:07:17,195;5405,44061124139
11:07:17,299;5405,70164407751
11:07:17,400;5406,09370829399
11:07:17,504;5406,27780033426
11:07:17,608;5406,11051648749
11:07:17,711;5406,04305688111
11:07:17,813;5406,27591067569
11:07:17,917;5406,91186408201
11:07:18,020;5406,70796408481
11:07:18,122;5406,77820144052
11:07:18,226;5406,58862948592
11:07:18,327;5406,93152568852
11:07:18,431;5407,01997898721
11:07:18,534;5406,96251550499
11:07:18,636;5406,68697033885
11:07:18,741;5407,23346883226
11:07:18,843;5406,55715778204
11:07:18,947;5407,92366380956
11:07:19,049;5407,06426240002
11:07:19,153;5407,55251775682
11:07:19,256;5406,8422928016
11:07:19,359;5407,69077223221
11:07:19,462;5407,55644354851
11:07:19,565;5407,75671547452
11:07:19,669;5407,83587662112
11:07:19,769;5407,62120095686
11:07:19,874;5408,07169229646
