Время;Значение
11:06:53,036;4038,7028100519
11:06:53,106;4025,97609119054
11:06:53,180;4026,95755051042
11:06:53,252;4027,59565471381
11:06:53,326;4028,00211504486
11:06:53,398;4028,45256858805
11:06:53,472;4027,39736756524
11:06:53,567;4027,31937704202
11:06:53,619;4026,87037647046
11:06:53,691;4027,41776308998
11:06:53,764;4026,68748833649
11:06:53,837;4026,40775175142
11:06:53,910;4026,11695261382
11:06:53,982;4025,1468972542
11:06:54,057;4024,16847124158
11:06:54,127;4023,87372263
11:06:54,201;4023,46318263555
11:06:54,275;4023,28401064404
11:06:54,348;4022,7877077988
11:06:54,420;4021,95851430522
11:06:54,493;4022,1865920713
11:06:54,566;4021,46340811269
11:06:54,639;4020,65394724386
11:06:54,712;4020,84211140183
11:06:54,786;4020,66947346403
11:06:54,859;4020,54185279889
11:06:54,931;4020,52587785391
11:06:55,042;4021,27693118702
11:06:55,125;4021,00458398614
11:06:55,208;4020,93616065502
11:06:55,291;4021,26121344841
11:06:55,425;4020,95634181521
11:06:55,519;4020,63519611557
11:06:55,610;4020,64089806036
11:06:55,703;4021,31635410842
11:06:55,797;4020,94115670584
11:06:55,976;4021,0758674377
11:06:56,079;4020,87491126806
11:06:56,194;4021,20562407403
11:06:56,285;4021,19496802965
11:06:56,390;4021,25168833718
11:06:56,492;4020,75280100259
11:06:56,595;4021,56950155178
11:06:56,716;4021,02207288667
11:06:56,802;4021,36418956362
11:06:56,904;4021,35000948661
11:06:57,007;4021,00849109075
11:06:57,110;4020,80373545746
11:06:57,213;4020,05684647123
11:06:57,317;4019,17764015467
11:06:57,419;4018,70988930058
11:06:57,522;4019,43362931031
11:06:57,624;4018,05764797183
11:06:57,728;4018,36467957632
11:06:57,830;4017,83132345804
11:06:57,934;4018,15315113358
11:06:58,036;4017,11448221135
11:06:58,140;4016,87337938517
11:06:58,243;4017,33006718546
11:06:58,346;4017,09718503479
11:06:58,449;4016,69597900767
11:06:58,552;4017,19029476012
11:06:58,654;4017,9048085821
11:06:58,758;4016,83365710774
11:06:58,862;4017,10239644742
11:06:58,964;4017,48623925692
11:06:59,067;4016,69467437411
11:06:59,170;4016,62477950481
11:06:59,273;4016,84649081771
11:06:59,376;4017,78987217107
11:06:59,479;4017,28820888222
11:06:59,583;4017,47502672843
11:06:59,685;4018,83334565219
11:06:59,788;4019,38696670557
11:06:59,891;4020,01407285101
11:06:59,994;4019,52816909976
11:07:00,097;4020,04514343117
11:07:00,200;4020,99997099581
11:07:00,303;4021,62077705177
11:07:00,406;4022,10939148205
11:07:00,509;4022,74021340923
11:07:00,612;4022,3618987558
11:07:00,715;4023,03297554128
11:07:00,818;4023,50691932858
11:07:00,921;4023,62228097015
11:07:01,024;4024,42300718995
11:07:01,133;4025,24248440608
11:07:01,230;4026,42231544803
11:07:01,333;4026,22199969505
11:07:01,435;4027,17941279648
11:07:01,539;4027,30910449906
11:07:01,642;4027,51193968863
11:07:01,745;4027,70228195344
11:07:01,848;4027,42002581132
11:07:01,956;4026,60659165082
11:07:02,053;4025,95862120495
11:07:02,156;4024,86506703074
11:07:02,260;4024,35960330194
11:07:02,363;4023,81858206592
11:07:02,484;4022,87103564269
11:07:02,569;4022,31662435777
11:07:02,671;4021,36487179926
11:07:02,775;4021,43329513825
11:07:02,877;4021,46581957774
11:07:02,980;4021,00302263373
11:07:03,084;4021,9367954941
11:07:03,186;4021,88537043869
11:07:03,290;4022,48847255089
11:07:03,393;4022,4388843048
11:07:03,496;4023,33694997936
11:07:03,599;4023,09612227175
11:07:03,702;4023,90692955021
11:07:03,812;4023,79641461858
11:07:03,908;4023,43783240413
11:07:04,012;4024,08080621506
11:07:04,114;4023,74007760745
11:07:04,217;4024,22553282597
11:07:04,320;4024,33852486745
11:07:04,423;4024,38275232809
11:07:04,526;4024,36440794518
11:07:04,629;4024,19593410608
11:07:04,732;4023,80865050503
11:07:04,835;4023,45399881158
11:07:04,938;4023,61252218253
11:07:05,041;4023,25093005225
11:07:05,144;4022,85230802333
11:07:05,247;4022,23790956685
11:07:05,350;4021,86333401022
11:07:05,454;4020,96140351558
11:07:05,556;4021,08740258062
11:07:05,659;4020,55013941257
11:07:05,762;4020,60602794688
11:07:05,865;4019,52069613527
11:07:05,968;4018,89717998531
11:07:06,071;4018,3410820525
11:07:06,174;4018,75132277549
11:07:06,276;4018,54788967421
11:07:06,380;4017,78220799627
11:07:06,483;4018,08876664379
11:07:06,586;4018,17175283001
11:07:06,688;4018,06779571927
11:07:06,792;4017,40632849824
11:07:06,895;4018,5502171044
11:07:06,998;4018,27082188866
11:07:07,101;4018,00155023299
11:07:07,205;4018,47935861089
11:07:07,307;4018,82984559414
11:07:07,409;4018,97288477852
11:07:07,513;4018,62982882369
11:07:07,616;4018,86424868971
11:07:07,719;4019,69025866951
11:07:07,822;4020,69115033628
11:07:07,924;4020,31159714484
11:07:08,028;4021,19537475991
11:07:08,132;4021,71032092939
11:07:08,234;4022,41973147583
11:07:08,337;4022,54521628599
11:07:08,440;4022,69088224819
11:07:08,543;4022,9882573343
11:07:08,645;4023,96471991493
11:07:08,749;4024,36131359217
11:07:08,852;4024,82549853691
11:07:08,955;4024,71333859701
11:07:09,058;4025,09972482064
11:07:09,161;4024,65864672039
11:07:09,264;4025,17453266206
11:07:09,367;4025,39556256769
11:07:09,470;4025,31742254387
11:07:09,572;4026,13918501287
11:07:09,676;4026,30979468927
11:07:09,778;4026,61972812377
11:07:09,882;4027,26596894437
11:07:09,985;4026,93604624051
11:07:10,093;4027,05380080968
11:07:10,190;4027,08598392425
11:07:10,294;4027,05435662899
11:07:10,397;4026,61755005951
11:07:10,500;4025,50411413196
11:07:10,603;4024,40543364992
11:07:10,706;4024,29652160823
11:07:10,810;4023,73472117614
11:07:10,912;4023,63313307328
11:07:11,015;4023,31521236274
11:07:11,118;4023,07632896689
11:07:11,221;4023,64398086747
