Время;Значение
11:06:53,039;2358,87468007716
11:06:53,110;2359,18258505286
11:06:53,184;2358,83315945569
11:06:53,256;2358,33438700645
11:06:53,330;2358,78484054964
11:06:53,401;2356,86251458838
11:06:53,475;2356,16016944335
11:06:53,568;2355,67356208635
11:06:53,632;2356,22094870586
11:06:53,695;2356,13009810943
11:06:53,767;2356,03500732052
11:06:53,840;2355,74420818292
11:06:53,914;2355,52807491409
11:06:53,986;2354,86416675529
11:06:54,063;2355,51101432147
11:06:54,128;2355,10047432701
11:06:54,202;2355,05952477867
11:06:54,278;2354,78347879173
11:06:54,351;2354,57820880167
11:06:54,423;2354,46384979683
11:06:54,496;2354,03405674286
11:06:54,569;2353,63126636471
11:06:54,651;2353,81943052268
11:06:54,716;2354,23727908141
11:06:54,790;2353,79700329494
11:06:54,862;2353,08100168314
11:06:54,934;2353,25776195687
11:06:55,043;2353,61104683238
11:06:55,130;2354,19255443845
11:06:55,211;2354,48939075532
11:06:55,295;2354,92267811981
11:06:55,426;2355,43554215473
11:06:55,521;2356,02827877477
11:06:55,614;2357,70248247735
11:06:55,707;2357,57420117966
11:06:55,800;2358,44427087333
11:06:55,977;2359,65160166305
11:06:56,084;2360,68466021822
11:06:56,195;2361,54959912472
11:06:56,288;2361,97240439631
11:06:56,394;2362,36851236887
11:06:56,496;2363,46372213144
11:06:56,598;2363,5525107027
11:06:56,717;2364,69131872711
11:06:56,806;2366,12047153374
11:06:56,907;2367,27612158708
11:06:57,011;2369,01981807201
11:06:57,114;2370,28655443925
11:06:57,225;2371,81726218151
11:06:57,320;2372,75406166388
11:06:57,423;2373,13038997027
11:06:57,525;2372,96699251116
11:06:57,628;2373,44399686467
11:06:57,732;2372,06791354609
11:06:57,833;2371,2283686709
11:06:57,938;2369,33611450155
11:06:58,040;2368,73532077717
11:06:58,142;2367,31628455068
11:06:58,247;2365,83489286301
11:06:58,350;2364,49622551293
11:06:58,452;2363,59469156363
11:06:58,556;2363,12483855468
11:06:58,658;2362,43752119301
11:06:58,761;2362,71877358896
11:06:58,865;2362,11366643331
11:06:58,968;2361,72704551364
11:06:59,070;2362,27625947716
11:06:59,174;2361,96778390089
11:06:59,277;2362,67900543643
11:06:59,379;2362,82794218528
11:06:59,483;2363,10195627181
11:06:59,586;2363,49389878654
11:06:59,688;2363,7686736171
11:06:59,792;2364,08062848736
11:06:59,895;2364,05647462392
11:06:59,997;2364,27439045547
11:07:00,101;2364,14769085457
11:07:00,204;2364,19314598792
11:07:00,306;2364,204900469
11:07:00,410;2364,27794420985
11:07:00,513;2363,60458891912
11:07:00,615;2363,9735186102
11:07:00,719;2363,69380252292
11:07:00,822;2363,05337229366
11:07:00,922;2362,78963587803
11:07:01,028;2363,09072766284
11:07:01,137;2362,88092663005
11:07:01,233;2361,95526870336
11:07:01,337;2360,41563231232
11:07:01,437;2358,8742396195
11:07:01,542;2358,1273899109
11:07:01,646;2357,38293825675
11:07:01,749;2357,22370940407
11:07:01,851;2355,70622154847
11:07:01,957;2355,77353350601
11:07:02,057;2354,72285939934
11:07:02,158;2355,11464160294
11:07:02,264;2354,97452112768
11:07:02,367;2354,72417616293
11:07:02,486;2354,107901061
11:07:02,573;2353,71065253887
11:07:02,675;2353,9223402356
11:07:02,779;2353,96114244423
11:07:02,880;2353,12228616762
11:07:02,994;2353,88467967251
11:07:03,088;2354,29732157842
11:07:03,189;2354,76721859827
11:07:03,294;2355,42741209107
11:07:03,397;2355,9997841208
11:07:03,499;2356,37378427083
11:07:03,602;2357,46295572307
11:07:03,706;2358,39905078731
11:07:03,815;2358,69875088075
11:07:03,912;2359,59315038243
11:07:04,016;2360,13986160421
11:07:04,117;2361,32943096944
11:07:04,221;2362,20132866453
11:07:04,324;2363,5594992227
11:07:04,426;2364,40474475147
11:07:04,530;2364,7146375484
11:07:04,631;2365,04838997812
11:07:04,735;2365,62438749773
11:07:04,839;2366,5563183414
11:07:04,943;2366,56680112774
11:07:05,044;2366,99497294915
11:07:05,148;2367,56621938611
11:07:05,251;2368,76919648868
11:07:05,353;2368,75315757996
11:07:05,457;2370,13198883833
11:07:05,560;2370,87439554565
11:07:05,662;2371,53946121467
11:07:05,766;2371,34134047899
11:07:05,869;2371,64722784071
11:07:05,971;2370,57429843648
11:07:06,075;2370,88588772381
11:07:06,175;2370,2258225605
11:07:06,279;2369,0200819982
11:07:06,399;2368,04408619622
11:07:06,487;2366,89018951724
11:07:06,589;2365,86477816852
11:07:06,689;2364,21120267598
11:07:06,796;2363,70294252219
11:07:06,898;2362,79807496632
11:07:07,002;2362,8056191313
11:07:07,105;2363,58042350349
11:07:07,208;2364,37730484517
11:07:07,310;2365,45776219557
11:07:07,413;2365,99308539249
11:07:07,516;2367,1758127074
11:07:07,619;2367,58278439362
11:07:07,723;2368,44332369051
11:07:07,825;2367,86358240517
11:07:07,927;2368,31288040162
11:07:08,032;2368,71270312821
11:07:08,135;2368,5608420501
11:07:08,237;2368,56376592936
11:07:08,341;2368,89497520507
11:07:08,443;2367,97060318676
11:07:08,546;2368,23037856397
