Время;Значение
11:06:53,038;2270,83706614831
11:06:53,109;2271,47779232491
11:06:53,183;2271,36918750869
11:06:53,255;2271,2722544634
11:06:53,329;2271,3128124387
11:06:53,401;2269,7975805233
11:06:53,475;2270,01128671528
11:06:53,568;2270,10821977044
11:06:53,631;2270,77472132197
11:06:53,694;2272,13753655379
11:06:53,766;2272,06341128687
11:06:53,840;2272,68699488801
11:06:53,913;2272,7793692707
11:06:53,985;2272,7338252927
11:06:54,062;2273,04173028452
11:06:54,128;2272,83438650397
11:06:54,202;2273,76610844503
11:06:54,277;2273,95178777826
11:06:54,350;2273,74651778819
11:06:54,422;2273,84497035838
11:06:54,495;2274,22683919175
11:06:54,569;2273,99876142568
11:06:54,651;2274,65637906604
11:06:54,715;2275,34139810348
11:06:54,789;2275,32388117848
11:06:54,862;2274,98176452689
11:06:54,934;2275,6139648774
11:06:55,043;2276,12937366748
11:06:55,130;2276,9753341771
11:06:55,211;2276,91894041481
11:06:55,294;2277,25176216486
11:06:55,426;2277,11888347095
11:06:55,521;2277,11757864125
11:06:55,613;2277,75049446191
11:06:55,706;2277,3329296811
11:06:55,800;2276,63925901803
11:06:55,977;2275,71318510652
11:06:56,083;2275,60947805405
11:06:56,195;2274,54596843306
11:06:56,287;2273,22168928714
11:06:56,393;2272,66298865865
11:06:56,495;2272,57624464588
11:06:56,598;2271,94781592358
11:06:56,717;2271,54721561031
11:06:56,805;2271,26694508688
11:06:56,907;2270,93376586477
11:06:57,010;2271,60184019319
11:06:57,113;2271,94048812154
11:06:57,222;2272,58464621498
11:06:57,319;2272,65566078684
11:06:57,422;2273,25270220943
11:06:57,525;2272,94690584672
11:06:57,627;2274,61031735639
11:06:57,731;2274,64050650362
11:06:57,833;2275,16512047819
11:06:57,937;2275,32125333981
11:06:58,039;2276,35779099333
11:06:58,142;2276,10163272823
11:06:58,246;2276,08795874485
11:06:58,349;2276,98791789803
11:06:58,452;2277,39457882866
11:06:58,555;2277,19613711443
11:06:58,657;2277,18065765072
11:06:58,761;2278,84891378229
11:06:58,864;2278,91930325231
11:06:58,967;2278,92141240467
11:06:59,069;2280,60945623828
11:06:59,173;2280,10164355228
11:06:59,276;2281,48996915799
11:06:59,379;2280,33308175627
11:06:59,482;2280,24363808036
11:06:59,585;2279,15403029793
11:06:59,688;2278,63045246604
11:06:59,791;2277,41136310159
11:06:59,894;2275,34584858291
11:06:59,997;2274,29990934152
11:07:00,100;2273,61208438581
11:07:00,203;2273,35930489096
11:07:00,306;2272,6076503304
11:07:00,409;2272,24235166686
11:07:00,512;2271,24969606019
11:07:00,615;2271,52131552629
11:07:00,718;2271,67862822131
11:07:00,821;2271,18833257517
11:07:00,922;2270,90311064599
11:07:01,027;2271,29543630568
11:07:01,136;2272,12135917201
11:07:01,233;2272,27321942065
11:07:01,336;2273,17058650543
11:07:01,437;2273,01009152818
11:07:01,542;2272,87084993209
11:07:01,645;2273,03867282745
11:07:01,748;2273,93637956076
11:07:01,851;2274,08019642924
11:07:01,957;2274,61010127578
11:07:02,056;2274,3590908248
11:07:02,157;2275,40594213787
11:07:02,263;2276,12696049943
11:07:02,366;2275,84529511448
11:07:02,485;2276,27841018939
11:07:02,572;2277,03637505874
11:07:02,674;2277,41309649158
11:07:02,778;2277,09820272495
11:07:02,880;2276,67852886787
11:07:02,991;2277,13284353811
11:07:03,087;2276,70314218186
11:07:03,189;2277,39826073486
11:07:03,293;2277,12195771453
11:07:03,396;2276,9591755424
11:07:03,499;2277,11473636784
11:07:03,602;2277,14045794419
11:07:03,705;2276,67059298905
11:07:03,815;2276,60454663682
11:07:03,911;2276,5788792433
11:07:04,015;2275,94378288891
11:07:04,117;2276,53292411647
11:07:04,220;2276,44038816991
11:07:04,323;2275,41966949943
11:07:04,426;2274,73960164917
11:07:04,529;2274,17082005613
11:07:04,630;2273,13290631507
11:07:04,735;2272,04287147136
11:07:04,838;2271,81284678134
11:07:04,942;2272,02304970988
11:07:05,044;2272,5533121109
11:07:05,147;2273,19210781541
11:07:05,250;2273,3676348215
11:07:05,353;2273,40134548906
11:07:05,456;2274,78596919931
11:07:05,559;2275,64655032561
11:07:05,662;2276,69072036861
11:07:05,765;2276,24432439518
11:07:05,868;2277,25428288552
11:07:05,971;2277,81825660212
11:07:06,074;2278,86544772426
11:07:06,175;2278,64891690974
11:07:06,279;2279,60580655563
11:07:06,398;2279,91987819726
11:07:06,486;2279,63985737931
11:07:06,589;2280,30971958237
11:07:06,689;2280,42908517839
11:07:06,795;2280,47534407773
11:07:06,898;2280,55329458298
11:07:07,001;2279,66741972987
11:07:07,104;2281,17999025241
11:07:07,207;2280,49339732601
11:07:07,310;2280,91112293608
11:07:07,412;2280,69527132029
11:07:07,516;2280,23777507459
11:07:07,619;2279,95598462799
11:07:07,722;2279,46236425152
11:07:07,825;2278,28320593878
11:07:07,927;2277,77006692183
11:07:08,031;2276,72393061199
11:07:08,135;2276,22743317155
11:07:08,237;2275,9959951192
11:07:08,340;2274,85333745236
11:07:08,442;2273,04811124388
11:07:08,546;2273,25767191084
11:07:08,648;2272,66064894507
11:07:08,752;2272,81887376595
11:07:08,855;2272,19305484793
11:07:08,958;2272,54140920297
11:07:09,061;2272,52256906345
11:07:09,164;2273,12638406651
11:07:09,267;2273,97152155147
11:07:09,370;2274,74879011984
11:07:09,473;2275,51317186467
11:07:09,575;2275,52162654941
11:07:09,679;2276,28166457329
11:07:09,779;2276,94017603577
11:07:09,885;2276,5037361027
11:07:09,988;2276,53616030201
11:07:10,096;2277,9470061758
11:07:10,194;2278,38040736009
11:07:10,297;2278,78590654463
11:07:10,400;2278,81296841623
11:07:10,503;2278,62916556012
11:07:10,606;2278,96992373418
11:07:10,709;2279,6087736945
11:07:10,813;2279,29931369303
11:07:10,915;2278,68702513803
11:07:11,018;2278,4144401036
11:07:11,121;2277,29130073691
11:07:11,224;2276,85582599322
11:07:11,336;2278,14812911157
11:07:11,429;2277,62317522624
11:07:11,533;2276,34865719739
11:07:11,635;2276,93390187381
11:07:11,739;2276,85105391447
11:07:11,842;2276,51385325769
11:07:11,944;2275,87257258587
11:07:12,048;2275,76360994475
11:07:12,150;2276,01723004683
11:07:12,254;2275,63530768911
11:07:12,357;2275,7101835954
11:07:12,460;2275,89298532514
11:07:12,563;2275,38333199862
11:07:12,666;2274,89394835811
11:07:12,777;2275,040358079
11:07:12,872;2275,38946321997
11:07:12,975;2275,30668682289
11:07:13,078;2274,5866158481
11:07:13,181;2274,37848652609
11:07:13,284;2274,92499617357
