Время;Значение
11:06:53,037;4187,09487084704
11:06:53,108;4174,36815198568
11:06:53,182;4174,48477596731
11:06:53,254;4174,09485711627
11:06:53,328;4173,81032165199
11:06:53,400;4174,26077519518
11:06:53,473;4173,46636273673
11:06:53,568;4173,57671710244
11:06:53,620;4174,00839179829
11:06:53,693;4174,5557784178
11:06:53,765;4175,0744442292
11:06:53,839;4175,70290919302
11:06:53,912;4175,41211005541
11:06:53,984;4176,03155183384
11:06:54,059;4176,66057327145
11:06:54,127;4177,53864419091
11:06:54,202;4177,12810419645
11:06:54,276;4178,04370276968
11:06:54,349;4178,4777649396
11:06:54,421;4178,44170567031
11:06:54,494;4178,66978343638
11:06:54,567;4178,65874795383
11:06:54,650;4177,91568111991
11:06:54,714;4178,10384527788
11:06:54,788;4177,90373868324
11:06:54,861;4177,53221108553
11:06:54,933;4176,66407041649
11:06:55,043;4176,24859414715
11:06:55,127;4175,79374845685
11:06:55,210;4175,72532512573
11:06:55,293;4175,60780073726
11:06:55,426;4174,68450139183
11:06:55,520;4174,07937030424
11:06:55,612;4174,08507224902
11:06:55,705;4174,27657039665
11:06:55,799;4173,13749221273
11:06:55,977;4172,62250533739
11:06:56,082;4172,08286243369
11:06:56,195;4172,43196761858
11:06:56,286;4172,53368453814
11:06:56,392;4172,4527580752
11:06:56,494;4171,87724864356
11:06:56,597;4171,89841381917
11:06:56,716;4171,34110957373
11:06:56,804;4171,58022901948
11:06:56,906;4171,40366235888
11:06:57,009;4171,16454916218
11:06:57,112;4171,17487275854
11:06:57,217;4170,8706525479
11:06:57,318;4171,32054396833
11:06:57,421;4171,17872602913
11:06:57,524;4171,45205715304
11:06:57,626;4170,88333034388
11:06:57,730;4171,67738075553
11:06:57,832;4171,2890864427
11:06:57,936;4170,9171924572
11:06:58,038;4170,49912713041
11:06:58,141;4170,70623952982
11:06:58,245;4170,78587933146
11:06:58,348;4170,53555604846
11:06:58,451;4170,37609541518
11:06:58,554;4170,20154605995
11:06:58,656;4170,92290705559
11:06:58,760;4170,64589741467
11:06:58,863;4171,10793596029
11:06:58,966;4171,08179926767
11:06:59,068;4170,88351143456
11:06:59,172;4171,71321609477
11:06:59,275;4171,39721096449
11:06:59,378;4171,79652819596
11:06:59,481;4171,60027014482
11:06:59,584;4171,70473504548
11:06:59,687;4172,24051809092
11:06:59,790;4172,72976141537
11:06:59,893;4173,53334258802
11:06:59,995;4173,57212656025
11:07:00,099;4174,02825199134
11:07:00,202;4174,81306108338
11:07:00,305;4175,36447692498
11:07:00,408;4175,68817768146
11:07:00,511;4176,58776337221
11:07:00,614;4176,30541493028
11:07:00,717;4176,77847199614
11:07:00,820;4177,02879634479
11:07:00,921;4176,59875862045
11:07:01,026;4176,55369283299
11:07:01,135;4176,62966594201
11:07:01,232;4176,50810595477
11:07:01,335;4175,62893014576
11:07:01,436;4175,79742111301
11:07:01,541;4175,26714609498
11:07:01,644;4175,23440815962
11:07:01,747;4175,67233512269
11:07:01,850;4176,27102193536
11:07:01,957;4176,18308359782
11:07:02,055;4176,8750081179
11:07:02,157;4177,15843333917
11:07:02,262;4178,14484172571
11:07:02,365;4178,97655554482
11:07:02,485;4178,95483647094
11:07:02,571;4179,40931515151
11:07:02,673;4179,86195205889
11:07:02,777;4180,01130240426
11:07:02,879;4179,89119856248
11:07:02,986;4179,31825463998
11:07:03,086;4179,95264409474
11:07:03,188;4179,12864410551
11:07:03,292;4178,48583095214
11:07:03,395;4177,72694470536
11:07:03,497;4177,5196793232
11:07:03,601;4176,37987417882
11:07:03,704;4176,29069521375
11:07:03,814;4176,02087900822
11:07:03,910;4175,17498512498
11:07:04,014;4175,30522339178
11:07:04,116;4174,7918729135
11:07:04,219;4175,11265558193
11:07:04,322;4175,08966064958
11:07:04,425;4175,12258572958
11:07:04,527;4174,80127101285
11:07:04,630;4174,74591249335
11:07:04,734;4174,44003092581
11:07:04,836;4174,09149319186
11:07:04,940;4174,16784704085
11:07:05,043;4173,85517619561
11:07:05,146;4173,7157744781
11:07:05,249;4173,92435449126
11:07:05,352;4173,85079701342
11:07:05,455;4173,70916047126
11:07:05,558;4174,13368346769
11:07:05,661;4173,89420184322
11:07:05,764;4173,95988297225
11:07:05,867;4173,16788687454
11:07:05,970;4173,23981976892
11:07:06,073;4173,16109795031
11:07:06,175;4173,01066747499
11:07:06,277;4173,19421652302
11:07:06,382;4172,83628681953
11:07:06,485;4172,9096751515
11:07:06,588;4172,39650642514
11:07:06,689;4172,50320696063
11:07:06,794;4172,31742234804
11:07:06,897;4172,35423195211
11:07:06,999;4172,20358325622
11:07:07,103;4172,41233812503
11:07:07,206;4172,53703773918
11:07:07,309;4172,6488658055
11:07:07,411;4172,82432714993
11:07:07,515;4172,57712010901
11:07:07,618;4173,1445294725
11:07:07,721;4173,22673637526
11:07:07,824;4173,81898333364
11:07:07,925;4173,67016497
11:07:08,030;4174,14322099993
11:07:08,134;4174,36338012956
11:07:08,236;4174,83258855145
11:07:08,339;4175,1114103025
11:07:08,441;4175,50445234888
11:07:08,545;4175,41780612617
11:07:08,647;4176,48166018791
11:07:08,751;4176,68305294439
11:07:08,854;4177,44525390403
11:07:08,957;4178,00584081955
11:07:09,060;4178,22526928577
11:07:09,163;4178,05052684983
11:07:09,266;4177,74907199252
11:07:09,369;4177,68911089952
11:07:09,471;4177,14561266998
11:07:09,574;4177,09634161364
11:07:09,678;4177,21497714236
11:07:09,779;4177,30271683055
11:07:09,884;4177,49124935864
11:07:09,987;4177,01872496211
11:07:10,095;4177,39062061727
11:07:10,193;4178,13791504709
11:07:10,296;4178,72703461204
11:07:10,399;4179,18647768216
11:07:10,502;4179,74376668308
11:07:10,605;4179,61075248968
11:07:10,708;4180,97256062455
11:07:10,812;4181,28541459824
11:07:10,914;4181,75019770244
11:07:11,017;4181,71211009264
11:07:11,120;4181,76691396466
11:07:11,223;4181,71633851783
11:07:11,335;4181,0874802811
11:07:11,428;4181,1733991815
11:07:11,532;4180,80978300462
11:07:11,634;4179,70325930245
11:07:11,738;4179,9493830141
11:07:11,841;4179,3426127691
11:07:11,943;4179,19530271848
11:07:12,047;4178,40863840463
11:07:12,149;4177,52211087388
11:07:12,253;4177,15739071101
11:07:12,356;4177,17818651592
11:07:12,458;4177,11730726275
11:07:12,562;4177,27015445141
11:07:12,665;4176,90431767367
11:07:12,768;4177,04133412851
11:07:12,871;4177,09193204114
11:07:12,974;4177,22049775169
11:07:13,077;4177,06765633758
11:07:13,180;4176,87396582905
11:07:13,283;4177,00566604537
11:07:13,385;4176,60819082521
11:07:13,488;4176,80666513771
11:07:13,592;4176,74965150991
11:07:13,695;4176,10091657019
11:07:13,798;4176,08805645704
11:07:13,901;4175,79928079296
11:07:14,004;4176,09964163896
11:07:14,106;4176,0599210231
11:07:14,210;4175,11138664931
11:07:14,313;4175,51623056276
11:07:14,416;4175,36024872973
11:07:14,518;4175,38987555996
11:07:14,621;4175,17283326086
11:07:14,724;4175,27087753944
11:07:14,828;4174,30248303522
11:07:14,931;4174,89751463201
11:07:15,034;4174,63063459334
11:07:15,137;4174,17080060003
11:07:15,239;4174,34627429771
11:07:15,343;4174,201684289
11:07:15,446;4174,18071276715
11:07:15,549;4174,28720749556
11:07:15,651;4174,78491980274
11:07:15,755;4174,29472194975
11:07:15,858;4174,71556057282
11:07:15,959;4174,62174447839
11:07:16,064;4175,38229614428
11:07:16,166;4175,04182861732
11:07:16,270;4175,35100856492
11:07:16,373;4175,21857722873
11:07:16,475;4176,04664000849
11:07:16,579;4176,31219340177
11:07:16,681;4176,93367692969
11:07:16,784;4177,75602667578
11:07:16,888;4177,44977107077
11:07:16,991;4178,33686023455
11:07:17,093;4178,49117558345
11:07:17,196;4178,49061465781
11:07:17,300;4178,49685538105
11:07:17,402;4178,63481832047
11:07:17,505;4179,0606056111
11:07:17,609;4179,33007058866
11:07:17,712;4178,91548920349
11:07:17,813;4179,40327212296
11:07:17,918;4179,30985261336
