Время;Значение
11:06:53,037;4448,00090094591
11:06:53,108;4435,08404939959
11:06:53,181;4435,39195437529
11:06:53,253;4435,33710841414
11:06:53,328;4435,2657701504
11:06:53,399;4435,46758869621
11:06:53,473;4434,61799905889
11:06:53,568;4434,61799905889
11:06:53,620;4434,86118798855
11:06:53,693;4435,7669015769
11:06:53,765;4435,7669015769
11:06:53,838;4436,22295416683
11:06:53,911;4436,33435907901
11:06:53,984;4436,03785797534
11:06:54,059;4436,41081094353
11:06:54,127;4437,23426876126
11:06:54,202;4437,07967706162
11:06:54,276;4437,52442872035
11:06:54,349;4437,85716158635
11:06:54,421;4437,59338910757
11:06:54,494;4437,63133380533
11:06:54,567;4437,63133380533
11:06:54,649;4437,26065625803
11:06:54,713;4437,06855441674
11:06:54,787;4437,13697774467
11:06:54,860;4436,72014784725
11:06:54,932;4435,97948344855
11:06:55,043;4435,84910610039
11:06:55,127;4435,47001674429
11:06:55,209;4435,04692279541
11:06:55,292;4435,06211101482
11:06:55,426;4435,03285983578
11:06:55,520;4434,57522136425
11:06:55,611;4434,52242095599
11:06:55,705;4434,81163551087
11:06:55,798;4434,04448122752
11:06:55,977;4434,02254285345
11:06:56,081;4433,5654162654
11:06:56,194;4433,73524770977
11:06:56,286;4433,86639243546
11:06:56,391;4433,77132618663
11:06:56,494;4433,52701198077
11:06:56,596;4433,34483229405
11:06:56,716;4432,89154101273
11:06:56,803;4432,94845914037
11:06:56,905;4432,85704936347
11:06:57,009;4432,39496258541
11:06:57,112;4432,59795779758
11:06:57,216;4432,22858501138
11:06:57,318;4432,72122696964
11:06:57,420;4432,22418723286
11:06:57,523;4432,68461248598
11:06:57,626;4432,10449695991
11:06:57,730;4432,95799910078
11:06:57,831;4432,26509834251
11:06:57,936;4432,08915697718
11:06:58,038;4431,8007875804
11:06:58,141;4431,57677755567
11:06:58,245;4431,62679086322
11:06:58,348;4431,03389359341
11:06:58,450;4431,11315796532
11:06:58,554;4431,00847741242
11:06:58,656;4431,41249638783
11:06:58,759;4431,03616807762
11:06:58,863;4431,54543045818
11:06:58,966;4431,17362800052
11:06:59,068;4431,18661551073
11:06:59,172;4431,82763596761
11:06:59,274;4431,34632043186
11:06:59,377;4432,03052670318
11:06:59,480;4431,76105255263
11:06:59,584;4431,92663806758
11:06:59,686;4432,33635917988
11:06:59,790;4432,64418670479
11:06:59,893;4433,21095397004
11:06:59,995;4432,92869437056
11:07:00,099;4433,32655033111
11:07:00,202;4433,58802106225
11:07:00,304;4434,10817560364
11:07:00,407;4435,09471182932
11:07:00,511;4435,62465975969
11:07:00,613;4435,82008478756
11:07:00,717;4436,3967478885
11:07:00,820;4436,94211443743
11:07:00,921;4436,75331102524
11:07:01,026;4436,56174613058
11:07:01,135;4436,8654322269
11:07:01,231;4436,77918715395
