Время;Значение
11:06:53,036;4429,72064979294
11:06:53,107;4416,84954195769
11:06:53,181;4417,32246290398
11:06:53,253;4417,32246290398
11:06:53,327;4417,66557248007
11:06:53,399;4417,9028803725
11:06:53,473;4417,05329073518
11:06:53,567;4417,5620900493
11:06:53,620;4417,47338010401
11:06:53,692;4417,85575073029
11:06:53,765;4417,85575073029
11:06:53,838;4417,92601445706
11:06:53,911;4417,42206966396
11:06:53,983;4416,83679059345
11:06:54,058;4416,83679059345
11:06:54,127;4416,82841497878
11:06:54,201;4415,76468685424
11:06:54,276;4416,20943851297
11:06:54,349;4416,25756816103
11:06:54,421;4415,62600702253
11:06:54,494;4415,66844188327
11:06:54,567;4415,66844188327
11:06:54,649;4414,8834354528
11:06:54,713;4415,03034563871
11:06:54,787;4414,59684567384
11:06:54,860;4414,59684567384
11:06:54,932;4414,10346448057
11:06:55,042;4413,929566066
11:06:55,126;4413,93308721422
11:06:55,209;4413,69277237954
11:06:55,292;4413,45984039753
11:06:55,425;4413,23981929995
11:06:55,519;4413,10883389868
11:06:55,611;4413,27955167655
11:06:55,704;4414,12561295834
11:06:55,798;4413,107993442
11:06:55,977;4413,83681343399
11:06:56,080;4413,37479653579
11:06:56,194;4414,00116275271
11:06:56,286;4414,13230747841
11:06:56,391;4413,63038425875
11:06:56,493;4413,08485240467
11:06:56,596;4413,20392672448
11:06:56,716;4412,79506762573
11:06:56,803;4412,97904414622
11:06:56,905;4413,27469748724
11:06:57,008;4412,54469660503
11:06:57,111;4412,68926673214
11:06:57,216;4412,28225523694
11:06:57,318;4412,66830650749
11:06:57,420;4411,96010643499
11:06:57,523;4411,9307709974
11:06:57,625;4411,07213224751
11:06:57,729;4411,72182804483
11:06:57,831;4410,96028903615
11:06:57,935;4411,09327390787
11:06:58,037;4410,74210822439
11:06:58,140;4410,68811753889
11:06:58,244;4410,74647729762
11:06:58,347;4410,63562633244
11:06:58,450;4410,34332772699
11:06:58,553;4409,93933768243
11:06:58,655;4409,9794253867
11:06:58,759;4409,84374494057
11:06:58,862;4410,21990664638
11:06:58,965;4410,22392010972
11:06:59,068;4410,20261177009
11:06:59,171;4410,76760408848
11:06:59,274;4410,86602918411
11:06:59,377;4411,2207234535
11:06:59,480;4410,94099495505
11:06:59,583;4411,2919866305
11:06:59,686;4411,91533135512
11:06:59,789;4411,84372750666
11:06:59,892;4412,46204412578
