Время;Значение
11:06:53,038;2358,14970460492
11:06:53,108;2345,00336017892
11:06:53,183;2345,5041575454
11:06:53,254;2345,5041575454
11:06:53,329;2346,0129743536
11:06:53,400;2346,81537199099
11:06:53,474;2345,96578235367
11:06:53,568;2345,7458172909
11:06:53,631;2346,44511624117
11:06:53,694;2346,81314671319
11:06:53,766;2346,81314671319
11:06:53,839;2346,91837759376
11:06:53,912;2347,48036629443
11:06:53,985;2347,09249505592
11:06:54,061;2347,09249505592
11:06:54,127;2348,01630248168
11:06:54,202;2348,73604524078
11:06:54,277;2349,18079689952
11:06:54,350;2348,26709524583
11:06:54,422;2350,28516633723
11:06:54,495;2349,83304372289
11:06:54,568;2349,83304372289
11:06:54,650;2351,39514533415
11:06:54,714;2351,05539261088
11:06:54,788;2352,86323466368
11:06:54,861;2352,86323466368
11:06:54,933;2351,3468410796
11:06:55,043;2352,35946990997
11:06:55,127;2350,90074474059
11:06:55,210;2351,04551860018
11:06:55,293;2350,36035783205
11:06:55,426;2348,87136213335
11:06:55,520;2348,32671056096
11:06:55,612;2346,66406127913
11:06:55,706;2347,66922578744
11:06:55,799;2346,38920913942
11:06:55,977;2345,01188939491
11:06:56,082;2345,40685277293
11:06:56,195;2343,98799771253
11:06:56,287;2344,54892015518
11:06:56,392;2344,25788956979
11:06:56,495;2343,12181320058
11:06:56,597;2343,78110572887
11:06:56,717;2344,31157089603
11:06:56,804;2343,92949522548
11:06:56,906;2343,81782071715
11:06:57,010;2344,46283463577
11:06:57,113;2344,40549131208
11:06:57,219;2343,60925967499
11:06:57,319;2344,66680699481
11:06:57,421;2344,35857760322
11:06:57,524;2343,79074870957
11:06:57,626;2343,30441435935
11:06:57,731;2344,94022236033
11:06:57,832;2344,17820185134
11:06:57,937;2344,75224318249
11:06:58,039;2345,09148515269
11:06:58,141;2345,60081222103
11:06:58,245;2345,47917088491
11:06:58,349;2345,66010306774
11:06:58,451;2346,02915296875
11:06:58,555;2345,52826303322
11:06:58,657;2346,04523903724
11:06:58,760;2346,49124168462
11:06:58,864;2345,69028179159
11:06:58,967;2345,91882260083
11:06:59,069;2345,63548690814
11:06:59,173;2345,40360851033
11:06:59,275;2345,42247545504
11:06:59,378;2346,51479122629
11:06:59,481;2345,39350232525
11:06:59,585;2346,82760970309
11:06:59,687;2347,19462015611
11:06:59,791;2346,7367497372
11:06:59,894;2348,83965379859
11:06:59,996;2347,76314546737
11:07:00,100;2348,36991558152
11:07:00,203;2347,84079386145
11:07:00,305;2349,44155654372
11:07:00,408;2348,08894428237
11:07:00,512;2348,64082749229
11:07:00,614;2348,18661895775
11:07:00,718;2346,79312000673
11:07:00,821;2347,65786813287
11:07:00,922;2346,00161621159
11:07:01,027;2345,09714017089
11:07:01,136;2346,62150534866
11:07:01,232;2345,87214083499
11:07:01,336;2345,94964983166
11:07:01,436;2347,79179422715
11:07:01,541;2346,69873641213
11:07:01,644;2348,1619104588
11:07:01,748;2348,48182196298
11:07:01,850;2349,05651305561
11:07:01,957;2349,26150492997
11:07:02,055;2348,56901995727
11:07:02,157;2349,61752885762
11:07:02,263;2349,86456675169
11:07:02,366;2350,74127572129
11:07:02,485;2350,49178090677
11:07:02,572;2351,63791877946
11:07:02,674;2351,38017219405
11:07:02,778;2352,22355066695
11:07:02,879;2352,08800189749
11:07:02,988;2352,48217847919
11:07:03,087;2353,07610781508
11:07:03,188;2352,78813648467
11:07:03,292;2352,5115686376
11:07:03,395;2352,60122393421
11:07:03,498;2351,84031467843
11:07:03,601;2351,57774722504
11:07:03,705;2350,64448177371
11:07:03,814;2350,28595448438
11:07:03,911;2348,41131249038
11:07:04,014;2347,33035398968
11:07:04,116;2345,59167894647
11:07:04,219;2346,25778640196
11:07:04,323;2345,29578101184
11:07:04,425;2345,41139599206
11:07:04,528;2345,78721408202
11:07:04,630;2345,76408186901
11:07:04,734;2345,21822517853
11:07:04,837;2346,0120464376
11:07:04,941;2346,06693380859
11:07:05,043;2346,12446313692
11:07:05,146;2346,90878142459
11:07:05,249;2347,06203857868
11:07:05,352;2346,72497524152
11:07:05,455;2347,47879017635
11:07:05,558;2346,81643820371
11:07:05,661;2346,6480222178
11:07:05,764;2347,46659851656
11:07:05,867;2346,4642157949
11:07:05,970;2347,27903711711
11:07:06,073;2348,13020243253
11:07:06,175;2347,39404957371
11:07:06,278;2348,78467414682
11:07:06,382;2348,05538182409
11:07:06,485;2347,72768247398
11:07:06,588;2348,19487069323
11:07:06,689;2347,61211389301
11:07:06,794;2347,37541363437
11:07:06,897;2348,77572718584
11:07:07,000;2346,69600206147
11:07:07,104;2347,69235819996
11:07:07,206;2347,69110654979
11:07:07,309;2346,83994131002
11:07:07,411;2347,76680793511
11:07:07,515;2347,1335215235
11:07:07,618;2346,36626297929
11:07:07,722;2347,54137252787
11:07:07,824;2346,64593622372
11:07:07,926;2347,39006237357
11:07:08,031;2346,94410572446
11:07:08,134;2347,91125697483
11:07:08,236;2348,79037604465
11:07:08,339;2348,16283784796
11:07:08,442;2349,26298833281
11:07:08,545;2348,02854076065
11:07:08,648;2349,31425945796
11:07:08,751;2349,059526301
11:07:08,854;2348,63257600346
11:07:08,958;2348,81323018642
11:07:09,060;2348,06451423647
11:07:09,163;2348,15166578153
11:07:09,267;2348,23232738628
11:07:09,369;2347,7141923947
11:07:09,472;2347,99024980022
11:07:09,574;2348,59368224458
11:07:09,678;2348,00239555781
11:07:09,779;2349,44229819806
11:07:09,884;2349,53695970793
11:07:09,987;2350,31154336607
11:07:10,095;2351,07082923595
11:07:10,194;2351,53648806247
11:07:10,296;2352,28979390035
11:07:10,399;2352,86045224734
11:07:10,503;2353,39564739546
11:07:10,605;2352,74219554964
11:07:10,708;2353,8597306498
