Время;Значение
11:06:53,038;2339,55332354441
11:06:53,109;2339,69890386989
11:06:53,184;2339,81388382982
11:06:53,255;2339,52757202875
11:06:53,330;2339,97802557195
11:06:53,401;2339,17239885929
11:06:53,475;2339,46999405405
11:06:53,568;2339,19493311913
11:06:53,631;2339,74231973865
11:06:53,694;2339,37708930858
11:06:53,767;2339,50925159537
11:06:53,840;2339,21845245776
11:06:53,913;2339,23983711298
11:06:53,985;2339,24660064005
11:06:54,062;2339,72021204814
11:06:54,128;2339,30967205368
11:06:54,202;2339,94718424593
11:06:54,278;2340,03511010635
11:06:54,351;2339,82984011629
11:06:54,422;2340,4366754565
11:06:54,496;2340,48402015574
11:06:54,569;2340,31005061804
11:06:54,651;2340,498214776
11:06:54,715;2341,00626748594
11:06:54,789;2340,71205397121
11:06:54,862;2339,89649032885
11:06:54,934;2340,07325060258
11:06:55,043;2340,29963178697
11:06:55,130;2340,27517139101
11:06:55,211;2340,63548804377
11:06:55,294;2340,97366450849
11:06:55,426;2340,85521487989
11:06:55,521;2341,02662331398
11:06:55,613;2341,68659325597
11:06:55,706;2341,29299474009
11:06:55,800;2341,89156726547
11:06:55,977;2342,42816264002
11:06:56,083;2343,0767615123
11:06:56,195;2343,57990060224
11:06:56,288;2343,88764142007
11:06:56,393;2343,96286111643
11:06:56,495;2344,17886741404
11:06:56,598;2343,59279287867
11:06:56,717;2344,36101226006
11:06:56,805;2343,85374714074
11:06:56,907;2343,36527328929
11:06:57,010;2343,58556974465
11:06:57,113;2343,42213954337
11:06:57,222;2343,25494460272
11:06:57,320;2342,95691132941
11:06:57,422;2343,52938209623
11:06:57,525;2342,68785834945
11:06:57,627;2343,94444199113
11:06:57,731;2343,50719811291
11:06:57,833;2343,95233277331
11:06:57,937;2343,96998581563
11:06:58,039;2344,72601330833
11:06:58,142;2345,00013349706
11:06:58,246;2345,40071434987
11:06:58,349;2345,97243022773
11:06:58,452;2346,327395642
11:06:58,555;2347,13163278248
11:06:58,657;2347,40122252655
11:06:58,761;2348,28521035276
11:06:58,865;2348,3341205414
11:06:58,967;2347,57054110554
11:06:59,070;2347,76185696925
11:06:59,173;2347,02965483696
11:06:59,276;2347,05282353498
11:06:59,379;2346,48000223776
11:06:59,482;2346,35070705171
11:06:59,586;2345,69295831422
11:06:59,688;2345,49587448736
11:06:59,791;2345,73083612315
11:06:59,894;2344,57021125139
11:06:59,997;2344,07741438825
11:07:00,100;2344,05598558247
11:07:00,203;2343,75186731584
11:07:00,306;2343,44168595553
11:07:00,409;2343,56386735644
11:07:00,512;2342,67339011768
11:07:00,615;2343,00897300305
11:07:00,718;2342,90260606536
11:07:00,821;2342,2211307376
11:07:00,922;2341,87520556886
11:07:01,028;2341,98850032738
11:07:01,137;2342,30847680145
11:07:01,233;2341,49291291883
11:07:01,336;2341,96440127034
11:07:01,437;2341,6022675603
11:07:01,542;2341,43781963552
11:07:01,645;2341,56479457643
11:07:01,748;2341,69287499474
11:07:01,851;2341,51866455083
11:07:01,957;2341,35421662507
11:07:02,056;2341,02559434714
11:07:02,157;2341,61430636352
11:07:02,263;2341,77356679816
11:07:02,366;2341,6389964153
11:07:02,485;2341,99302024457
11:07:02,572;2341,94170274021
11:07:02,674;2342,21641381109
11:07:02,778;2342,15872678247
11:07:02,880;2341,89293509911
11:07:02,993;2342,15550932058
11:07:03,087;2342,02982566192
11:07:03,189;2341,84143179256
11:07:03,293;2341,77190297996
11:07:03,396;2342,34755854079
11:07:03,499;2341,8514893228
11:07:03,602;2342,50862473034
11:07:03,706;2342,77259951349
11:07:03,815;2342,23469050681
11:07:03,911;2342,43642562158
11:07:04,015;2342,60263548839
11:07:04,117;2342,82552577144
11:07:04,220;2342,98010203799
11:07:04,323;2343,34592387177
11:07:04,426;2343,5253545311
11:07:04,529;2343,87088579564
11:07:04,631;2343,71748048386
11:07:04,735;2343,98994808659
11:07:04,838;2344,34948799347
11:07:04,942;2345,01231452835
11:07:05,044;2344,74791274477
11:07:05,147;2344,93163353888
11:07:05,250;2345,17662012819
11:07:05,353;2344,77654283189
11:07:05,457;2345,15657023224
11:07:05,559;2345,1538123538
11:07:05,662;2345,34984532716
11:07:05,765;2345,23391319183
11:07:05,868;2345,90638147337
11:07:05,971;2345,82018470976
11:07:06,074;2346,84667709622
11:07:06,175;2347,1169013188
11:07:06,279;2346,75315886858
11:07:06,398;2347,72093585714
11:07:06,486;2347,69041273648
11:07:06,589;2348,54899886413
11:07:06,689;2348,17691699292
11:07:06,795;2348,74805265311
11:07:06,898;2348,86094283486
11:07:07,001;2349,47449894714
11:07:07,104;2349,29738826943
11:07:07,207;2349,37343975671
11:07:07,310;2349,3629004953
11:07:07,412;2348,92601756733
11:07:07,516;2348,98449255352
11:07:07,619;2348,53207961228
11:07:07,722;2348,8108839185
11:07:07,825;2347,82611060596
11:07:07,927;2347,11334505119
11:07:08,031;2346,71024684769
11:07:08,135;2346,83148687101
11:07:08,237;2346,01828644593
11:07:08,340;2345,65671085525
11:07:08,443;2344,41272374811
11:07:08,546;2345,12652830584
11:07:08,648;2345,08496213636
11:07:08,752;2344,78029654616
11:07:08,855;2344,51423141314
11:07:08,958;2344,58788606421
11:07:09,061;2344,22839002562
11:07:09,164;2344,07223775693
11:07:09,267;2344,35929396954
11:07:09,370;2343,92835397122
11:07:09,473;2344,38962039485
