Время;Значение
11:06:53,038;2370,44919962252
11:06:53,109;2370,88152808565
11:06:53,184;2370,58291172208
11:06:53,256;2370,48597867678
11:06:53,330;2370,86888804544
11:06:53,401;2370,25748050207
11:06:53,475;2370,25748050207
11:06:53,568;2369,64342227221
11:06:53,632;2370,39699635192
11:06:53,695;2369,85664302952
11:06:53,767;2369,7825177626
11:06:53,840;2369,3708501282
11:06:53,913;2368,92504088628
11:06:53,986;2368,29581379079
11:06:54,063;2368,6037187826
11:06:54,128;2367,63149592413
11:06:54,202;2367,8807250846
11:06:54,278;2367,8807250846
11:06:54,351;2367,34128939141
11:06:54,423;2367,4520536723
11:06:54,496;2367,58003201994
11:06:54,569;2367,35195425387
11:06:54,651;2367,97026788678
11:06:54,715;2368,67858307749
11:06:54,789;2368,67858307749
11:06:54,862;2368,52132409338
11:06:54,934;2368,6092104875
11:06:55,043;2369,07913353838
11:06:55,130;2369,44441480816
11:06:55,211;2369,86618675937
11:06:55,295;2369,86618675937
11:06:55,426;2370,21003656288
11:06:55,521;2370,183743896
11:06:55,613;2370,73845066691
11:06:55,707;2370,75521283793
11:06:55,800;2370,75521283793
11:06:55,977;2371,52118531052
11:06:56,083;2372,85795140788
11:06:56,195;2374,11246334563
11:06:56,288;2375,69086588766
11:06:56,393;2376,56697324768
11:06:56,496;2377,62342734695
11:06:56,598;2378,55057266084
11:06:56,717;2380,08004748084
11:06:56,805;2380,08004748084
11:06:56,907;2380,57007269218
11:06:57,011;2380,47373062219
11:06:57,114;2380,79533449977
11:06:57,224;2380,46394471755
11:06:57,320;2379,49784226165
11:06:57,423;2379,10274334789
11:06:57,525;2378,85161666886
11:06:57,627;2379,62609311294
11:06:57,732;2379,44479781916
11:06:57,833;2380,49632840178
11:06:57,938;2380,2763095539
11:06:58,040;2381,14649807217
11:06:58,142;2381,14938404133
11:06:58,247;2380,9124693434
11:06:58,350;2380,79448648795
11:06:58,452;2380,37331260641
11:06:58,556;2379,62806902694
11:06:58,658;2379,29084532423
11:06:58,761;2378,99039249084
11:06:58,865;2377,79434564212
11:06:58,968;2377,25744501
11:06:59,070;2377,26782225274
11:06:59,174;2376,73775149015
11:06:59,276;2376,70518914636
11:06:59,379;2376,25247979103
11:06:59,482;2375,61526259814
11:06:59,586;2376,12706832124
11:06:59,688;2376,17000797397
11:06:59,792;2376,49220281645
11:06:59,895;2376,07374389763
11:06:59,997;2376,03791416514
11:07:00,101;2375,7757961117
11:07:00,204;2376,25198217327
11:07:00,306;2376,19126771505
11:07:00,410;2376,65256496585
11:07:00,513;2375,89772262528
11:07:00,615;2375,79195284707
11:07:00,719;2375,46007353919
11:07:00,822;2374,42164340135
11:07:00,922;2373,62156721556
11:07:01,028;2373,62501357802
11:07:01,137;2373,68755632223
11:07:01,233;2372,81575070648
11:07:01,337;2372,60537073131
11:07:01,437;2371,80163829429
11:07:01,542;2371,98368018734
11:07:01,645;2371,71579045673
11:07:01,749;2371,72353090171
11:07:01,851;2370,78819503326
11:07:01,957;2370,43343831073
11:07:02,056;2369,71734385129
11:07:02,158;2369,94517312903
11:07:02,264;2369,01123899799
11:07:02,367;2368,37124507996
11:07:02,486;2368,09255060563
11:07:02,573;2368,04123310127
11:07:02,675;2368,53980603186
11:07:02,779;2368,66845337466
11:07:02,880;2368,0240953664
11:07:02,993;2369,12566652486
11:07:03,088;2369,01817692859
11:07:03,189;2369,78625769707
11:07:03,294;2369,54529796599
11:07:03,396;2370,66528126437
11:07:03,499;2370,90508824754
11:07:03,602;2372,00120636353
11:07:03,706;2372,23871961959
11:07:03,815;2372,33203454348
11:07:03,912;2373,21746110472
11:07:04,016;2373,17181401801
11:07:04,117;2373,79980552951
11:07:04,221;2374,15509141063
11:07:04,324;2375,30844675376
11:07:04,426;2375,9725555839
11:07:04,530;2376,64243648424
11:07:04,631;2377,77999338558
11:07:04,735;2378,82863775052
11:07:04,839;2379,20309916983
11:07:04,942;2380,45089184675
11:07:05,044;2380,8147973018
11:07:05,148;2381,6521122096
11:07:05,250;2381,79487077452
11:07:05,353;2381,41734447011
11:07:05,457;2381,69515266238
11:07:05,559;2380,92598117722
11:07:05,662;2380,76765669265
11:07:05,766;2379,93629296008
11:07:05,868;2379,28872158078
11:07:05,971;2379,27865567178
11:07:06,075;2379,96278776195
11:07:06,175;2379,74136099734
11:07:06,279;2379,91277722673
11:07:06,399;2380,58265852993
11:07:06,486;2380,50346932632
11:07:06,589;2381,31512131132
11:07:06,689;2380,7702317026
11:07:06,795;2381,70986245757
11:07:06,898;2381,07497069933
11:07:07,002;2381,22079427182
11:07:07,105;2381,01742225935
11:07:07,207;2380,22051113594
11:07:07,310;2380,35693777526
11:07:07,412;2378,99334847622
11:07:07,516;2378,47453384669
11:07:07,619;2378,84108401687
11:07:07,723;2378,57857681271
11:07:07,825;2378,12812325515
11:07:07,927;2378,91109424502
11:07:08,032;2379,36338367308
11:07:08,135;2379,65432281191
11:07:08,237;2379,94051691589
11:07:08,341;2380,10457427326
11:07:08,443;2379,72476100807
11:07:08,546;2380,31448819937
11:07:08,649;2379,63528001577
11:07:08,752;2379,04747412221
11:07:08,855;2378,27460804111
11:07:08,959;2377,69120526952
11:07:09,061;2376,55647222638
11:07:09,164;2375,87237163906
11:07:09,268;2375,61419744426
11:07:09,370;2375,0453337267
11:07:09,473;2374,50314439649
11:07:09,575;2373,89901145811
11:07:09,679;2373,43795606966
11:07:09,779;2373,45977614367
11:07:09,886;2372,46185913797
11:07:09,988;2371,69117239044
11:07:10,096;2371,63048951694
11:07:10,195;2371,47382282024
11:07:10,297;2371,21712693784
11:07:10,400;2370,55221001562
11:07:10,504;2369,85073087255
11:07:10,606;2369,83583555466
11:07:10,709;2369,79518293505
11:07:10,814;2370,35781514702
11:07:10,915;2369,79817732004
11:07:11,018;2369,69050934497
11:07:11,122;2370,24173770676
11:07:11,224;2369,95495228169
11:07:11,336;2371,52831332305
11:07:11,430;2371,89039010652
11:07:11,533;2371,9364012139
11:07:11,635;2373,15669407722
11:07:11,739;2373,46442739222
11:07:11,842;2374,04599408043
11:07:11,944;2374,07633915355
11:07:12,049;2374,08644369336
11:07:12,150;2374,89067363754
11:07:12,254;2375,2745006415
11:07:12,358;2375,40033222655
11:07:12,460;2375,84357442703
11:07:12,563;2376,28242136192
11:07:12,667;2376,57357805672
11:07:12,777;2377,7760654321
11:07:12,872;2379,0787297954
11:07:12,976;2379,68803654038
11:07:13,078;2379,36080879944
11:07:13,181;2380,80676130588
11:07:13,285;2380,58350653196
11:07:13,386;2381,06225977121
11:07:13,490;2381,4001214433
11:07:13,594;2380,22463407954
11:07:13,696;2381,24560903595
11:07:13,799;2380,53747099305
11:07:13,903;2381,02439219963
11:07:14,005;2380,88750652337
11:07:14,107;2380,14558483989
11:07:14,212;2380,57558761172
11:07:14,314;2380,06726663275
11:07:14,417;2380,41850016382
11:07:14,519;2380,31129122133
11:07:14,622;2380,89064151262
11:07:14,725;2380,7788276645
11:07:14,829;2381,84351226844
11:07:14,932;2382,62317793506
11:07:15,035;2382,8246913145
11:07:15,139;2383,935739069
11:07:15,240;2383,35294268954
11:07:15,344;2383,33354991915
11:07:15,447;2383,1715693463
11:07:15,550;2383,80002049765
11:07:15,653;2382,46857300738
11:07:15,757;2382,81720063482
11:07:15,859;2381,53671256008
11:07:15,959;2381,95383351248
11:07:16,066;2381,11159454958
11:07:16,168;2381,40538877008
11:07:16,271;2381,56863726934
11:07:16,375;2382,57000169942
11:07:16,476;2382,13609400161
11:07:16,580;2381,98122341087
11:07:16,683;2382,60660943731
11:07:16,785;2381,90523110278
11:07:16,889;2382,16149956502
11:07:16,993;2381,68312703263
11:07:17,095;2381,18212582486
11:07:17,197;2379,74314271873
11:07:17,301;2379,40284616781
11:07:17,404;2378,13379403276
11:07:17,506;2377,13917462687
11:07:17,611;2375,98163372442
11:07:17,713;2375,31829530407
11:07:17,815;2375,26285528172
11:07:17,919;2374,40488060116
11:07:18,022;2374,48196190344
11:07:18,125;2374,29495700831
11:07:18,229;2374,10344802579
11:07:18,329;2373,93847333313
11:07:18,433;2373,11344266131
11:07:18,537;2372,87987311438
11:07:18,638;2373,17102248593
11:07:18,743;2372,31544379952
11:07:18,846;2373,16524348777
11:07:18,949;2371,9146827384
11:07:19,051;2372,79605672794
11:07:19,155;2371,91542175278
11:07:19,258;2372,52292389475
11:07:19,361;2372,71587927364
11:07:19,464;2373,33257519933
11:07:19,567;2373,62548976764
11:07:19,671;2374,21642198498
11:07:19,770;2374,95936984866
11:07:19,876;2375,40972187851
11:07:19,979;2375,68570213617
11:07:20,082;2375,53991744542
11:07:20,184;2376,33668741787
11:07:20,287;2376,44076909976
11:07:20,392;2376,82209899694
11:07:20,494;2377,43893540211
11:07:20,598;2377,16886715278
11:07:20,700;2377,41116469132
11:07:20,802;2377,32176929715
11:07:20,906;2377,78214864552
11:07:21,009;2377,91329331501
11:07:21,112;2378,70305499443
11:07:21,215;2379,63667220022
11:07:21,318;2379,72854121356
11:07:21,420;2379,74582600668
11:07:21,523;2380,71495414354
11:07:21,628;2381,21831202668
11:07:21,730;2381,48039135059
11:07:21,833;2381,48922830869
11:07:21,936;2381,02103103765
11:07:22,039;2380,7947113325
11:07:22,141;2381,70047189806
11:07:22,245;2380,77101651871
11:07:22,346;2380,91331601697
11:07:22,451;2380,47085159973
11:07:22,555;2381,39035015126
11:07:22,656;2381,27134838633
11:07:22,759;2381,75400632394
11:07:22,863;2382,74112751623
11:07:22,966;2383,35342125515
11:07:23,069;2383,49235325106
11:07:23,181;2384,95913766099
11:07:23,273;2384,63712230151
11:07:23,378;2386,00478761974
11:07:23,481;2385,19229616858
11:07:23,582;2386,22030258013
11:07:23,687;2385,85066473938
11:07:23,789;2386,01102745156
11:07:23,893;2386,14452892458
11:07:23,996;2386,0242590871
11:07:24,099;2386,52381284489
11:07:24,202;2385,71170180809
11:07:24,305;2385,69413685891
11:07:24,409;2385,12393417798
11:07:24,508;2385,02263728895
11:07:24,614;2384,52212601257
11:07:24,714;2384,84002663893
11:07:24,820;2384,13164807213
11:07:24,923;2384,55168525942
11:07:25,026;2383,49344212159
11:07:25,129;2383,76924298516
11:07:25,232;2383,18028606295
11:07:25,336;2383,23923408607
11:07:25,437;2383,19150238162
11:07:25,542;2382,08140469013
11:07:25,644;2381,7980574413
11:07:25,747;2380,33891293334
11:07:25,848;2378,13082301581
11:07:25,954;2377,80382902648
11:07:26,055;2376,59817650777
11:07:26,158;2376,98263346433
11:07:26,263;2375,9096424029
11:07:26,364;2375,86606512584
11:07:26,468;2375,53496380939
11:07:26,572;2375,99217675368
11:07:26,675;2376,29959125224
11:07:26,777;2376,29801194137
11:07:26,877;2375,93097215341
11:07:26,983;2375,62890942753
11:07:27,086;2375,98007259682
11:07:27,190;2375,41427398521
11:07:27,291;2376,1492638937
11:07:27,395;2375,89581142928
11:07:27,499;2376,08950600972
11:07:27,600;2376,05909813994
11:07:27,703;2376,3763685542
11:07:27,804;2376,63310338811
11:07:27,910;2376,76234986998
11:07:28,013;2377,13959574796
11:07:28,118;2377,40688673509
11:07:28,219;2378,08605537372
11:07:28,322;2377,82200808634
11:07:28,434;2378,34947251779
11:07:28,525;2378,19830496898
11:07:28,631;2379,21177217054
11:07:28,732;2378,02724676496
11:07:28,837;2378,88457576678
11:07:28,940;2378,2010509192
11:07:29,040;2378,7106705309
11:07:29,146;2378,11143790015
11:07:29,250;2379,02931013212
11:07:29,353;2378,79986349623
11:07:29,453;2378,65179198052
11:07:29,558;2378,97092950488
11:07:29,661;2380,17521367043
11:07:29,763;2380,76463751543
11:07:29,867;2381,80355763632
11:07:29,968;2381,33980259727
11:07:30,073;2382,15029526562
11:07:30,175;2382,10968182021
11:07:30,279;2381,9855380197
