Время;Значение
11:06:53,036;5189,17197739898
11:06:53,107;5176,44525853762
11:06:53,181;5176,77420444265
11:06:53,253;5176,83732723112
11:06:53,327;5176,74039418583
11:06:53,399;5177,09265672509
11:06:53,473;5176,71298119654
11:06:53,567;5176,91637687008
11:06:53,620;5177,01330992524
11:06:53,692;5177,37132815876
11:06:53,765;5177,97450156272
11:06:53,838;5177,9003762958
11:06:53,911;5177,67269996075
11:06:53,983;5177,4323080156
11:06:54,059;5177,57959455988
11:06:54,127;5177,88749955169
11:06:54,201;5177,24550927543
11:06:54,276;5177,66922
11:06:54,349;5177,7113018684
11:06:54,421;5177,50603187834
11:06:54,494;5177,01170428904
11:06:54,567;5177,15899080884
11:06:54,649;5176,93091304277
11:06:54,713;5176,59305393681
11:06:54,787;5175,91101750963
11:06:54,860;5175,72164917904
11:06:54,932;5175,37953252745
11:06:55,042;5175,12144703375
11:06:55,126;5174,76768644095
11:06:55,209;5174,58704486175
11:06:55,292;5174,29908424064
11:06:55,425;5174,55157528379
11:06:55,519;5174,18750736972
11:06:55,611;5174,35452304479
11:06:55,704;5174,51752497085
11:06:55,798;5173,83722673179
11:06:55,977;5173,93541769141
11:06:56,081;5173,38385593158
11:06:56,194;5174,07927800641
11:06:56,286;5173,90182257969
11:06:56,391;5173,58620880831
11:06:56,493;5173,38487388395
11:06:56,596;5173,34688855703
11:06:56,716;5173,50365058443
11:06:56,803;5173,64237172373
11:06:56,905;5173,08128063084
11:06:57,008;5172,36926183545
11:06:57,111;5172,45192774533
11:06:57,216;5172,05466617341
11:06:57,318;5172,41514651966
11:06:57,420;5172,27254408985
11:06:57,523;5172,95045879621
11:06:57,625;5171,70866826214
11:06:57,729;5172,3803474568
11:06:57,831;5171,84653295744
11:06:57,935;5172,03151088634
11:06:58,037;5171,50058890634
11:06:58,140;5171,37011474471
11:06:58,244;5170,96640247747
11:06:58,347;5171,00888561485
11:06:58,450;5170,77350059981
11:06:58,553;5170,53891824362
11:06:58,655;5170,41369092359
11:06:58,759;5170,30388070245
11:06:58,863;5171,14926601095
11:06:58,965;5170,774704577
11:06:59,068;5170,80870081488
11:06:59,171;5171,88074462216
11:06:59,274;5171,71653841325
11:06:59,377;5171,99422066153
11:06:59,480;5171,53777144821
11:06:59,584;5171,5254572025
11:06:59,686;5172,32471810779
11:06:59,789;5172,81047976941
11:06:59,892;5173,49056271234
11:06:59,995;5173,13830007411
11:07:00,098;5173,17154759219
11:07:00,201;5173,39472614067
11:07:00,304;5174,424982172
11:07:00,407;5174,73877534119
11:07:00,510;5175,68093278776
11:07:00,613;5175,89763173972
11:07:00,716;5176,3938872906
11:07:00,819;5177,54372350328
11:07:00,921;5177,007794438
11:07:01,025;5177,58856155594
11:07:01,135;5177,85478612489
11:07:01,231;5178,07105859655
11:07:01,334;5178,21288349418
11:07:01,436;5178,30074206848
11:07:01,540;5177,48472230172
11:07:01,643;5177,2716895439
11:07:01,746;5177,22920626307
11:07:01,849;5177,30343900957
11:07:01,957;5176,97791927392
11:07:02,054;5176,58954542604
11:07:02,157;5176,75565089576
11:07:02,261;5177,33320670108
11:07:02,364;5177,95661828691
11:07:02,485;5178,4815703294
11:07:02,570;5178,4872722743
11:07:02,672;5178,87781453926
11:07:02,776;5178,45528258155
11:07:02,878;5177,68771660628
11:07:02,983;5176,80509406867
11:07:03,085;5177,46959822622
11:07:03,187;5176,51028083952
11:07:03,291;5176,40644163065
11:07:03,394;5175,77242906219
11:07:03,497;5176,11061066389
11:07:03,600;5175,72675973612
11:07:03,703;5176,30961607085
11:07:03,813;5176,53011756695
11:07:03,909;5176,09979453989
11:07:04,013;5176,51558138336
11:07:04,115;5176,30803561134
11:07:04,218;5177,10780604656
11:07:04,321;5176,63652643177
11:07:04,424;5176,90526690825
