Время;Значение
11:06:53,038;1343,06501639697
11:06:53,109;1330,70428905409
11:06:53,183;1330,62910010471
11:06:53,255;1330,62910010471
11:06:53,329;1330,74081642482
11:06:53,400;1331,09891696887
11:06:53,474;1330,24932733155
11:06:53,568;1330,23222492455
11:06:53,631;1330,48650012696
11:06:53,694;1331,02704578342
11:06:53,766;1331,02704578342
11:06:53,839;1330,8024193323
11:06:53,913;1330,56976837884
11:06:53,985;1330,27326727517
11:06:54,061;1330,43745038786
11:06:54,128;1330,4751373436
11:06:54,202;1330,35533827475
11:06:54,277;1330,80008993349
11:06:54,350;1330,65642970882
11:06:54,422;1330,54351271973
11:06:54,495;1331,04864950151
11:06:54,568;1331,04864950151
11:06:54,651;1330,78978739941
11:06:54,715;1330,82745036245
11:06:54,789;1330,89587369037
11:06:54,861;1331,09768211214
11:06:54,933;1330,58112089201
11:06:55,043;1330,94258717972
11:06:55,130;1331,16491508154
11:06:55,210;1330,78864838021
11:06:55,293;1330,85136976711
11:06:55,426;1330,82742639484
11:06:55,521;1330,29831197524
11:06:55,612;1330,38610547998
11:06:55,706;1330,72828036661
11:06:55,799;1330,02694120789
11:06:55,977;1330,07482794854
11:06:56,083;1329,79887026249
11:06:56,195;1330,08853729158
11:06:56,287;1330,44885427688
11:06:56,393;1329,88447485502
11:06:56,495;1329,86390740348
11:06:56,597;1330,26757560971
11:06:56,717;1329,84565912312
11:06:56,805;1330,18777580006
11:06:56,906;1330,10226376886
11:06:57,010;1329,94601609362
11:06:57,113;1330,15019162798
11:06:57,220;1330,25732787105
11:06:57,319;1330,30070650296
11:06:57,422;1330,09087016135
11:06:57,524;1330,64506349245
11:06:57,627;1329,80463734624
11:06:57,731;1330,85263546734
11:06:57,832;1330,26989818863
11:06:57,937;1330,1285160159
11:06:58,039;1330,25732787105
11:06:58,142;1330,39647997627
11:06:58,246;1330,41700628937
11:06:58,349;1330,33034153693
11:06:58,451;1330,6518702084
11:06:58,555;1330,26305379985
11:06:58,657;1330,55042218513
11:06:58,760;1330,40668660826
11:06:58,864;1330,5675314416
11:06:58,967;1330,24137476204
11:06:59,069;1329,86961620443
11:06:59,173;1330,413565254
11:06:59,276;1329,87646059495
11:06:59,378;1330,6210550519
11:06:59,482;1330,1261831488
11:06:59,585;1330,0885441458
11:06:59,687;1330,34740968318
11:06:59,791;1330,52643771381
11:06:59,894;1330,70208977852
11:06:59,996;1330,45002412564
11:07:00,100;1330,42833823876
11:07:00,203;1330,21742796659
11:07:00,305;1330,75220661561
11:07:00,409;1330,20718708229
11:07:00,512;1330,34177283286
11:07:00,614;1329,8673690215
11:07:00,718;1330,17864652097
11:07:00,821;1329,9506270082
11:07:00,922;1329,56744398453
11:07:01,027;1329,57426780013
11:07:01,136;1329,63474545164
11:07:01,232;1329,96202746919
11:07:01,336;1329,57202405892
11:07:01,437;1330,12050519306
11:07:01,541;1329,34853319899
11:07:01,645;1329,82854300372
11:07:01,748;1329,80917284679
11:07:01,850;1329,99050977069
11:07:01,957;1329,58680384905
11:07:02,056;1329,73160650949
11:07:02,157;1329,48190108998
11:07:02,263;1329,84683585049
11:07:02,366;1330,49219179515
11:07:02,485;1329,9972958929
11:07:02,572;1330,0029978378
11:07:02,674;1329,79433819059
11:07:02,778;1329,97563741404
11:07:02,879;1330,24585202684
11:07:02,991;1329,74866777288
11:07:03,087;1330,36563055305
11:07:03,188;1330,30399336266
11:07:03,293;1329,97906475062
11:07:03,396;1329,89806079703
11:07:03,498;1330,17519177221
11:07:03,601;1329,75779362841
11:07:03,705;1330,05775295918
11:07:03,814;1330,38954309093
11:07:03,911;1329,36215680859
11:07:04,015;1329,7875143701
11:07:04,116;1329,41917283219
11:07:04,219;1329,61991422284
11:07:04,323;1329,57201034157
11:07:04,425;1329,45914475643
11:07:04,528;1329,6609565669
11:07:04,630;1329,33260068435
11:07:04,734;1329,48190108998
11:07:04,837;1329,14554806987
11:07:04,942;1329,73624829551
11:07:05,043;1329,52417847887
11:07:05,146;1330,03729861749
11:07:05,250;1330,16617557574
11:07:05,352;1330,31216178239
11:07:05,456;1330,18440671893
11:07:05,559;1330,60066573266
11:07:05,661;1330,40222988033
11:07:05,764;1330,53798545742
11:07:05,868;1330,63026309679
11:07:05,970;1330,64971545798
11:07:06,073;1330,68961193727
11:07:06,175;1330,93025652593
11:07:06,278;1331,05450889998
11:07:06,398;1330,73065086104
11:07:06,486;1330,71013824772
11:07:06,588;1330,48544674294
11:07:06,689;1330,89713595931
11:07:06,795;1330,38512404944
11:07:06,897;1330,79339277991
11:07:07,000;1330,75001075913
11:07:07,104;1330,48777958556
11:07:07,207;1330,67134311716
11:07:07,309;1330,556196055
11:07:07,412;1330,67590604165
11:07:07,515;1330,11033627778
11:07:07,618;1330,38741236358
11:07:07,722;1330,25626765903
11:07:07,824;1330,42619722675
11:07:07,926;1329,87654972299
11:07:08,031;1330,07153084538
11:07:08,134;1330,2140588835
11:07:08,236;1330,34296666658
11:07:08,340;1330,28821156356
11:07:08,442;1330,32696216828
11:07:08,545;1329,67814126498
11:07:08,648;1330,62803643013
